SMTSD	data	variable	value
Adipose - Subcutaneous	med_diff_adj	PLCXD1	-0.0710526315789474
Adipose - Visceral (Omentum)	med_diff_adj	PLCXD1	-0.162309368191721
Adrenal Gland	med_diff_adj	PLCXD1	-0.265683579105224
Artery - Aorta	med_diff_adj	PLCXD1	-0.297359154929577
Artery - Coronary	med_diff_adj	PLCXD1	-0.35656146179402
Artery - Tibial	med_diff_adj	PLCXD1	-0.299958965941732
Bladder	med_diff_adj	PLCXD1	-0.255034979860081
Brain - Amygdala	med_diff_adj	PLCXD1	-0.332081019274747
Brain - Anterior cingulate cortex (BA24)	med_diff_adj	PLCXD1	-0.427430319510537
Brain - Caudate (basal ganglia)	med_diff_adj	PLCXD1	-0.452269536733739
Brain - Cerebellar Hemisphere	med_diff_adj	PLCXD1	-0.46521855010661
Brain - Cerebellum	med_diff_adj	PLCXD1	-0.356676873918253
Brain - Cortex	med_diff_adj	PLCXD1	-0.442940320232897
Brain - Frontal Cortex (BA9)	med_diff_adj	PLCXD1	-0.428593628593629
Brain - Hippocampus	med_diff_adj	PLCXD1	-0.438766006984866
Brain - Hypothalamus	med_diff_adj	PLCXD1	-0.42561065877128
Brain - Nucleus accumbens (basal ganglia)	med_diff_adj	PLCXD1	-0.420644661197597
Brain - Putamen (basal ganglia)	med_diff_adj	PLCXD1	-0.327846915562692
Brain - Spinal cord (cervical c-1)	med_diff_adj	PLCXD1	-0.198443579766537
Brain - Substantia nigra	med_diff_adj	PLCXD1	-0.326236820762368
Breast - Mammary Tissue	med_diff_adj	PLCXD1	-0.209045584045584
Cells - Cultured fibroblasts	med_diff_adj	PLCXD1	-0.0140115747791656
Cells - EBV-transformed lymphocytes	med_diff_adj	PLCXD1	0.00670263200915476
Colon - Sigmoid	med_diff_adj	PLCXD1	-0.372025668692146
Colon - Transverse	med_diff_adj	PLCXD1	-0.127319025100036
Esophagus - Gastroesophageal Junction	med_diff_adj	PLCXD1	-0.297297297297297
Esophagus - Mucosa	med_diff_adj	PLCXD1	-0.0447924253459579
Esophagus - Muscularis	med_diff_adj	PLCXD1	-0.223898822503271
Heart - Atrial Appendage	med_diff_adj	PLCXD1	-0.224631268436578
Heart - Left Ventricle	med_diff_adj	PLCXD1	-0.103257328990228
Kidney - Cortex	med_diff_adj	PLCXD1	-0.427635722383172
Kidney - Medulla	med_diff_adj	PLCXD1	-0.823090826931767
Liver	med_diff_adj	PLCXD1	-0.132138014163025
Lung	med_diff_adj	PLCXD1	-0.118307426597582
Minor Salivary Gland	med_diff_adj	PLCXD1	-0.106758832565284
Muscle - Skeletal	med_diff_adj	PLCXD1	-0.2140605296343
Nerve - Tibial	med_diff_adj	PLCXD1	-0.196184863523573
Pancreas	med_diff_adj	PLCXD1	-0.140512310370555
Pituitary	med_diff_adj	PLCXD1	-0.23027310289227
Skin - Not Sun Exposed (Suprapubic)	med_diff_adj	PLCXD1	0.0451410658307212
Skin - Sun Exposed (Lower leg)	med_diff_adj	PLCXD1	0.0283155856727977
Small Intestine - Terminal Ileum	med_diff_adj	PLCXD1	-1.60032147693716e-16
Spleen	med_diff_adj	PLCXD1	-0.208121827411167
Stomach	med_diff_adj	PLCXD1	-0.178418803418803
Thyroid	med_diff_adj	PLCXD1	-0.242035884291468
Whole Blood	med_diff_adj	PLCXD1	-0.119923161361142
Adipose - Subcutaneous	male_med	PLCXD1	11.4
Adipose - Visceral (Omentum)	male_med	PLCXD1	18.36
