Gene	NPY.Pair	X.class	LCL.deltaEx	Fib.deltaEx
USP9X	TRUE	Single-copy	0.13745581	0.173848532
KDM6A	TRUE	Single-copy	0.828883462	0.447811052
BCOR	FALSE	Single-copy	0.11544947	0.012531332
KDM5C	TRUE	Single-copy	0.729975255	0.57920862
DDX3X	TRUE	Single-copy	0.257297961	0.16425109
SMC1A	FALSE	Single-copy	0.579768416	0.426498448
CDK16	FALSE	Single-copy	0.090590545	0.241082134
DLG3	FALSE	Single-copy	0.175574676	0.074031255
RBBP7	FALSE	Single-copy	0.007747988	0.2924137
ZFX	TRUE	Single-copy	0.4525512	0.471192084
ARHGAP6	FALSE	Single-copy	-0.143559787	NA
ARHGEF6	FALSE	Single-copy	0.093860473	0.134947638
JADE3	FALSE	Single-copy	-0.145382598	0.127479271
SAT1	FALSE	Single-copy	-0.058226154	-0.163502225
UBA1	FALSE	Single-copy	0.154629002	0.25829828
ZNF711	FALSE	Multicopy	-0.21851608	-0.387113519
TXLNG	TRUE	Single-copy	0.235727886	0.53202223
MID2	FALSE	Multicopy	NA	0.229165839
SLC6A8	FALSE	Single-copy	0.043442055	0.199589371
SLC16A2	FALSE	Single-copy	NA	0.131568002
GRIPAP1	FALSE	Single-copy	0.003212967	-0.10599213
MPP1	FALSE	Single-copy	0.23724438	0.214537642
RAB9A	FALSE	Multicopy	0.04320665	0.173579907
DMD	FALSE	Single-copy	0.035207245	-0.194136075
USP27X	FALSE	Single-copy	-0.018170641	0.100485463
F8	FALSE	Single-copy	-0.134126072	-0.176645483
MBNL3	FALSE	Single-copy	0.062218917	-0.16270547
EIF1AX	TRUE	Single-copy	0.510866119	0.564920698
FHL1	FALSE	Single-copy	0.549135264	0.465016144
EIF2S3	FALSE	Single-copy	0.219755516	0.316112203
TCEAL9	FALSE	Single-copy	-0.242824626	-0.002219344
ARMCX1	FALSE	Multicopy	-0.301956329	0.021507023
CHM	FALSE	Single-copy	0.100936856	0.09004126
HDX	FALSE	Single-copy	-0.131304948	-0.062781097
MSL3	FALSE	Single-copy	0.257008126	-0.01798416
RADX	FALSE	Single-copy	-0.187201465	-0.1948066
NAA10	FALSE	Single-copy	0.052926817	0.200890411
PHKA1	FALSE	Multicopy	NA	1.064791477
LDOC1	FALSE	Single-copy	NA	-0.141912461
GPR174	FALSE	Single-copy	0.574802143	NA
FUNDC1	FALSE	Single-copy	0.265901869	0.024432059
TBC1D8B	FALSE	Single-copy	-0.205995129	-0.11762943
TRAPPC2	FALSE	Single-copy	0.13566126	0.26622081
CTPS2	FALSE	Single-copy	0.012052652	0.196646359
WWC3	FALSE	Single-copy	0.218903249	0.133644542
P2RY10	FALSE	Single-copy	0.308440003	NA
BEX3	FALSE	Multicopy	-0.320001979	-0.003623459
SPIN3	FALSE	Multicopy	0.012082642	-0.117333431
SYAP1	FALSE	Single-copy	0.095444664	0.465799631
ALG13	FALSE	Single-copy	0.179435117	0.109852378
OFD1	FALSE	Single-copy	0.092263249	0.277558597
PIN4	FALSE	Single-copy	0.183633504	0.216691232
KLF8	FALSE	Single-copy	-0.130498875	NA
RPS4X	TRUE	Single-copy	0.604322143	0.428965132
PRKX	TRUE	Single-copy	0.466814288	-0.080816755
CA5B	FALSE	Single-copy	0.165778427	0.338394741
ZRSR2	FALSE	Single-copy	0.398511891	0.570970198
IL13RA1	FALSE	Single-copy	-0.146714069	2.77e-05
SEPTIN6	FALSE	Single-copy	0.288814907	0.009139178
TRO	FALSE	Single-copy	-0.060405885	-0.187082901
PLP2	FALSE	Single-copy	-0.11481005	0.042305307
MAGEE1	FALSE	Single-copy	NA	0.233572322
CDR1	FALSE	Single-copy	NA	-0.184205265
PUDP	FALSE	Single-copy	1.002934141	1.18335713
MAP7D2	FALSE	Single-copy	1.033414093	NA
TCEANC	FALSE	Single-copy	0.104748161	0.341994744
TCEAL7	FALSE	Single-copy	NA	0.224832286
CFP	FALSE	Single-copy	-0.171654837	NA
BEX2	FALSE	Multicopy	-0.235506012	NA
IL13RA2	FALSE	Single-copy	NA	0.710015721
TASL	FALSE	Single-copy	0.308877335	NA
PPP1R3F	FALSE	Single-copy	-0.014233798	-0.111121342
GEMIN8	FALSE	Single-copy	0.115026474	0.481067174
CXorf38	FALSE	Single-copy	0.123418659	0.108931877
PNPLA4	FALSE	Single-copy	0.821236335	0.301383897
STS	FALSE	Single-copy	0.782632522	0.765955676
RENBP	FALSE	Single-copy	-0.118941805	NA
RGN	FALSE	Single-copy	NA	0.585253787
