Gene	Tissue	mean_ASE
CA5B	Artery - Aorta	0.097222222222222
GRIA3	Artery - Aorta	0
TIMP1	Artery - Aorta	0.0051933064050779
NAP1L2	Artery - Aorta	0
ZFX	Artery - Aorta	0.434782608695652
ELF4	Artery - Aorta	0
RNF113A	Artery - Aorta	0
APOO	Artery - Aorta	0
PUDP	Artery - Aorta	0.272727272727273
CA5BP1	Artery - Aorta	0.2875
ACOT9	Artery - Aorta	0.0036231884057971
SMC1A	Artery - Aorta	0.102040816326531
MAOA	Artery - Aorta	0.00176678445229682
RPL10	Artery - Aorta	0
IDS	Artery - Aorta	0.00852786488145606
PDK3	Artery - Aorta	0
TMEM187	Artery - Aorta	0.0582922824302134
SSR4	Artery - Aorta	0.0125
TCEANC	Artery - Aorta	0.2
ZNF275	Artery - Aorta	0
ZBED1	Artery - Aorta	0.333333333333333
SMS	Artery - Aorta	0
MPP1	Artery - Aorta	0.0384615384615385
CCDC22	Artery - Aorta	0
UBA1	Artery - Aorta	0.169354838709677
TIMM17B	Artery - Aorta	0
NSDHL	Artery - Aorta	0
BEX4	Artery - Aorta	0
TSPAN6	Artery - Aorta	0
NAP1L3	Artery - Aorta	0.0454545454545454
TRMT2B	Artery - Aorta	0
DNASE1L1	Artery - Aorta	0
FAM199X	Artery - Aorta	0.0625
SLITRK4	Artery - Aorta	0
CLIC2	Artery - Aorta	0
SMARCA1	Artery - Aorta	0
NAA10	Artery - Aorta	0.0333333333333333
USP9X	Artery - Aorta	0
GPM6B	Artery - Aorta	0.105263157894737
GPC4	Artery - Aorta	0
GDI1	Artery - Aorta	0.00739371534195933
TSR2	Artery - Aorta	0.00862068965517241
LDOC1	Artery - Aorta	0.0112781954887218
ASMTL	Artery - Aorta	0.43558282208589
OCRL	Artery - Aorta	0.0131578947368421
SASH3	Artery - Aorta	0
WWC3	Artery - Aorta	0
FLNA	Artery - Aorta	0.0012242042672263
GABRE	Artery - Aorta	0.0277777777777778
FTX	Artery - Aorta	0.0263736263736264
SLC25A43	Artery - Aorta	0
RTL8A	Artery - Aorta	0
HCFC1	Artery - Aorta	0.0163934426229508
ANOS1	Artery - Aorta	0
SLC10A3	Artery - Aorta	0
SMIM10L2B	Artery - Aorta	0
MAP7D3	Artery - Aorta	0
ZXDB	Artery - Aorta	0
IRAK1	Artery - Aorta	0.0075187969924812
SPIN3	Artery - Aorta	0
PPP2R3B	Artery - Aorta	0.446360153256705
KLF8	Artery - Aorta	0
RBM41	Artery - Aorta	0
ATP6AP1	Artery - Aorta	0.00333333333333333
SLC25A5	Artery - Aorta	0.00929208827981833
SRPK3	Artery - Aorta	0.0454545454545454
TAFAZZIN	Artery - Aorta	0.0081967213114754
MAGED1	Artery - Aorta	0
OFD1	Artery - Aorta	0.1
CYBB	Artery - Aorta	0
TMEM164	Artery - Aorta	0
FAM3A	Artery - Aorta	0.00458715596330276
LINC01560	Artery - Aorta	0.0384615384615384
USP11	Artery - Aorta	0.008
POLA1	Artery - Aorta	0
PLCXD1	Artery - Aorta	0.3625
RENBP	Artery - Aorta	0.0416666666666667
CD99	Artery - Aorta	0.367707546377906
LAMP2	Artery - Aorta	0.0065359477124183
AKAP17A	Artery - Aorta	0.446810735447891
ELK1	Artery - Aorta	0.0277777777777778
TMEM47	Artery - Aorta	0
TCEAL4	Artery - Aorta	0.00883933091570324
NONO	Artery - Aorta	0
AP1S2	Artery - Aorta	0.0833333333333333
OPHN1	Artery - Aorta	0
ZBTB33	Artery - Aorta	0.0666666666666665
NUDT10	Artery - Aorta	0
XIST	Artery - Aorta	0
ARHGAP6	Artery - Aorta	0
ARHGAP4	Artery - Aorta	0.0162162162162162
ZNF449	Artery - Aorta	0
